No. , DateTime, packetNumber, packet_nAddpos, packet_nPos ,packet_ArrayByte, Ticks
368, 2022-03-14 PM 5:50:19 and 940ms, 970112, 13, 0, 637828770199404490, 
369, 2022-03-14 PM 5:50:19 and 956ms, 970112, 13, 0, 637828770199568300, 
370, 2022-03-14 PM 5:50:19 and 973ms, 10218, 365, 0, 637828770199737190, 
371, 2022-03-14 PM 5:50:20 and 274ms, 970019, 39, 0, 637828770202749660, 
372, 2022-03-14 PM 5:50:20 and 692ms, 970112, 13, 0, 637828770206927780, 
373, 2022-03-14 PM 5:50:20 and 709ms, 10218, 245, 0, 637828770207093600, 
374, 2022-03-14 PM 5:50:21 and 879ms, 970019, 39, 0, 637828770218795290, 
375, 2022-03-14 PM 5:50:22 and 732ms, 970114, 379, 0, 637828770227326330, 
376, 2022-03-14 PM 5:50:22 and 748ms, 970112, 13, 0, 637828770227484990, 
377, 2022-03-14 PM 5:50:22 and 765ms, 10218, 286, 0, 637828770227651410, 
378, 2022-03-14 PM 5:50:24 and 336ms, 970112, 13, 0, 637828770243368160, 
379, 2022-03-14 PM 5:50:24 and 353ms, 10218, 187, 0, 637828770243531720, 
380, 2022-03-14 PM 5:50:25 and 673ms, 970112, 13, 0, 637828770256737250, 
381, 2022-03-14 PM 5:50:25 and 690ms, 10218, 569, 0, 637828770256908670, 
382, 2022-03-14 PM 5:50:25 and 707ms, 970024, 40, 0, 637828770257076920, 
383, 2022-03-14 PM 5:50:28 and 533ms, 970112, 13, 0, 637828770285339670, 
384, 2022-03-14 PM 5:50:28 and 550ms, 10205, 42, 0, 637828770285508050, 
385, 2022-03-14 PM 5:50:29 and 51ms, 970112, 13, 0, 637828770290513730, 
386, 2022-03-14 PM 5:50:30 and 390ms, 970135, 22, 0, 637828770303904910, 
387, 2022-03-14 PM 5:50:30 and 407ms, 970111, 258, 0, 637828770304070380, 
388, 2022-03-14 PM 5:50:30 and 424ms, 970126, 33, 0, 637828770304249130, 
389, 2022-03-14 PM 5:50:30 and 438ms, 970126, 54, 0, 637828770304381640, 
390, 2022-03-14 PM 5:50:30 and 453ms, 970112, 13, 0, 637828770304539950, 
391, 2022-03-14 PM 5:50:31 and 359ms, 970019, 47, 0, 637828770313594790, 
392, 2022-03-14 PM 5:50:31 and 718ms, 970112, 13, 0, 637828770317187050, 
393, 2022-03-14 PM 5:50:31 and 735ms, 10229, 731, 0, 637828770317352090, 
394, 2022-03-14 PM 5:50:31 and 751ms, 970135, 22, 0, 637828770317519940, 
395, 2022-03-14 PM 5:50:31 and 784ms, 10206, 26, 0, 637828770317847660, 
396, 2022-03-14 PM 5:50:31 and 801ms, 10232, 20, 0, 637828770318019230, 
397, 2022-03-14 PM 5:50:32 and 421ms, 10208, 405, 0, 637828770324217480, 
398, 2022-03-14 PM 5:50:33 and 156ms, 970019, 38, 0, 637828770331567510, 
399, 2022-03-14 PM 5:50:33 and 660ms, 10205, 59, 0, 637828770336604540, 
400, 2022-03-14 PM 5:50:34 and 180ms, 10212, 46, 0, 637828770341800230, 
401, 2022-03-14 PM 5:50:34 and 750ms, 10212, 49, 0, 637828770347500030, 
402, 2022-03-14 PM 5:50:34 and 984ms, 10212, 49, 0, 637828770349847980, 
403, 2022-03-14 PM 5:50:35 and 200ms, 970019, 41, 0, 637828770352002770, 
